fundingTime,contract_type,fundingRate,real_funding_rate
2023-03-09 08:00:03,SWAP,0.0006765899864682,0.0002264422157343
2023-03-09 16:00:04,SWAP,0.0021067415730337,-0.0001868391252182
2023-03-10 00:00:03,SWAP,0.0007183908045977,0.0002355124025168
2023-03-10 08:00:03,SWAP,-0.0020891364902507,-0.0001649763231613
2023-03-10 16:00:06,SWAP,0.0022522522522523,-2.30002739761e-05
2023-03-11 00:00:04,SWAP,-0.0007824726134585,0.0002451906267552
2023-03-11 08:00:03,SWAP,0.0008038585209003,0.0001336412489061
2023-03-11 16:00:06,SWAP,-0.0007849293563579,-0.0005148006366092
2023-03-12 00:00:04,SWAP,0.0,-0.0015610309121288
2023-03-12 08:00:03,SWAP,-0.0008605851979346,-0.0001714636158105
2023-03-12 16:00:04,SWAP,-0.0024311183144246,-0.0022895556542459
2023-03-13 00:00:05,SWAP,-0.0008064516129032,-0.0010719425228135
2023-03-13 08:00:04,SWAP,-0.0008038585209003,-0.0015201547085252
2023-03-13 16:00:04,SWAP,0.0036179450072359,0.000767465762542
2023-03-14 00:00:04,SWAP,-0.0006954102920723,4.11029143215e-05
2023-03-14 08:00:04,SWAP,0.0020463847203274,0.0006934888294085
2023-03-14 16:00:04,SWAP,0.0006775067750678,2.80337341777e-05
2023-03-15 00:00:04,SWAP,0.0034530386740331,0.0003808873768215
2023-03-15 08:00:03,SWAP,0.0018007202881152,0.0002873029484235
2023-03-15 16:00:04,SWAP,-0.0006211180124224,0.0005273973780452
2023-03-16 00:00:11,SWAP,-0.0017045454545455,-6.13430602034e-05
2023-03-16 08:00:04,SWAP,0.0025380710659898,0.0005308463266294
2023-03-16 16:00:04,SWAP,0.0006493506493506,-0.0003756443752635
2023-03-17 00:00:04,SWAP,0.0018587360594796,0.0001679143585447
2023-03-17 08:00:04,SWAP,-0.0006142506142506,9.07019813563e-05
2023-03-17 16:00:09,SWAP,0.0006257822277847,0.0004268563331589
2023-03-18 00:00:04,SWAP,-0.0006024096385542,0.0001759145186732
2023-03-18 08:00:04,SWAP,-0.0005889281507656,-0.0001652175932088
2023-03-18 16:00:04,SWAP,0.0016949152542373,0.0009266252069428
2023-03-19 00:00:04,SWAP,-0.0027085590465872,1.67433697558e-05
2023-03-19 08:00:04,SWAP,-0.0005747126436782,0.0001971137758125
2023-03-19 16:00:04,SWAP,0.0017709563164109,-0.0002600691411175
2023-03-20 00:00:04,SWAP,0.0005896226415094,0.0005122620668754
2023-03-20 08:00:04,SWAP,-0.0005740528128588,-0.0004530712643738
2023-03-20 16:00:04,SWAP,-0.0017281105990783,0.0004139044357051
2023-03-21 00:00:04,SWAP,-0.0017523364485981,-0.0004796533438
2023-03-21 08:00:04,SWAP,-0.0005910165484634,0.0006891315564686
2023-03-21 16:00:08,SWAP,0.0006313131313131,-0.0002104611940964
2023-03-22 00:00:04,SWAP,-0.0006418485237484,4.21553675161e-05
2023-03-22 08:00:04,SWAP,0.0006038647342995,0.0001250397468718
2023-03-22 16:00:04,SWAP,-0.0017857142857143,-0.00033140308868
2023-03-23 00:00:04,SWAP,-0.0006016847172082,0.0001106724262674
2023-03-23 08:00:04,SWAP,0.0018028846153846,0.0001423104209829
2023-03-23 16:00:04,SWAP,-0.0006211180124224,-4.93479798313e-05
2023-03-24 00:00:04,SWAP,0.0018337408312958,-7.14105887602e-05
2023-03-24 08:00:04,SWAP,0.0006002400960384,0.0001105873484639
2023-03-24 16:00:05,SWAP,0.0028473804100228,0.000397359458821
2023-03-25 00:00:04,SWAP,0.0016778523489933,0.0004085507335816
