,spread,theta,mu,sigma,signal,a,b
2010-03-12,-0.16561749884650112,0.2132409813863415,0.014126317608945142,0.2322095137199796,,0.7252737895955361,-0.6970211543776459
2010-03-15,-0.12555502697174603,0.2171304660737476,0.032908470829445466,0.23755550317810759,,0.7538826499302183,-0.6880657082713273
2010-03-16,-0.28968238442938343,0.2132744049379733,0.020685501975483227,0.23910480632696612,,0.7528925997763436,-0.7115215958253771
2010-03-17,-0.28847001833538144,0.21653333454951942,0.03348581583117037,0.23789511963457663,,0.7564855681720635,-0.6895139365097227
2010-03-18,-0.29821077054656797,0.2109192532723292,0.023307557903691337,0.23447140665361985,,0.7453234788458242,-0.6987083630384415
2010-03-19,-0.5160551947090823,0.19111680730168631,-0.01613633023516273,0.23453804104914983,,0.7425789844891028,-0.7748516449594282
2010-03-22,-0.6222353388597668,0.1760607757377531,-0.025719907815468318,0.23760978400011507,,0.775124250155776,-0.8265640657867126
2010-03-23,-0.787421000096785,0.14852720549223444,-0.05432038661205041,0.23731392464305134,,0.8165132877927392,-0.9251540610168401
2010-03-24,-0.6971908164426708,0.13452340817684544,-0.09536423574703963,0.23427664743637286,,0.8079629227987905,-0.9986913942928698
2010-03-25,-0.7867996436488482,0.11348792049083108,-0.15327841113968327,0.2304689626725549,,0.8142252693587704,-1.1207820916381368
2010-03-26,-0.5436275929213821,0.1344945192794092,-0.09948021913155435,0.2313979220047612,,0.7928429281480233,-0.991803366411132
2010-03-29,-0.5213240593973012,0.1702611604977816,-0.28648627152071066,0.20216087968740357,,0.40638781964277654,-0.9793603626841978
2010-03-30,-0.6597612738121299,0.07196144000456274,-0.4039132033818518,0.17050532620832684,,0.49496950298624015,-1.3027959097499437
2010-03-31,-0.5566564927659883,0.08901103590570127,-0.39524507070444925,0.1679710913857186,,0.40096490432980403,-1.1914550457387025
2010-04-01,-0.6864430781512141,0.0783685086850201,-0.4809819347981257,0.1665544756400428,,0.36041420291604176,-1.3223780725122931
2010-04-02,-0.7600590637161275,0.07033124647119192,-0.5527261946271924,0.16434623453032893,,0.32367023312248544,-1.4291226223768703
2010-04-06,-0.6380444620512549,0.14196538828137148,-0.5014502419922511,0.14703974543427295,,0.05044735446984949,-1.0533478384543518
2010-04-07,-0.7455217095721878,0.18443164367865988,-0.507935096316624,0.14316427845356589,,-0.03648910400374822,-0.9793810886294998
2010-04-08,-0.63968519056926,0.19058553631942332,-0.49133824802011744,0.1419889421476964,,-0.0313734960159443,-0.9513030000242906
2010-04-09,-0.7141974583840991,0.18313228682195024,-0.5150482007088049,0.14072053416307945,,-0.05000851810813833,-0.9800878833094714
2010-04-12,-0.6301998319580377,0.14831502509733424,-0.5180745659937648,0.1357094010660439,,-0.01972698232808734,-1.016422149659442
2010-04-13,-0.6603338790885402,0.14402095779125487,-0.5313443521225542,0.13378637626156806,,-0.03278824447760903,-1.0299004597674992
2010-04-14,0.0,0.20659828371147565,-0.40280626402956804,0.17699618986003116,,0.14789434997679357,-0.9535068780359297
2010-04-15,-0.07926376183348083,0.2060787887863773,-0.4023416215839784,0.17461080020168313,,0.14162149564008325,-0.9463047388080401
2010-04-16,-0.012224168568117477,0.1929452716169179,-0.3860934601021009,0.1728190804404624,,0.17030973822857243,-0.9424966584327742
2010-04-19,0.1444731039694389,0.16712991813140562,-0.35439196235440357,0.17280347667855123,,0.24338665133312848,-0.9521705760419357
2010-04-20,0.023981596042226272,0.1725892519277552,-0.35967071633239733,0.17122788549811996,,0.22321393329930628,-0.9425553659641009
2010-04-21,0.09185828004508778,0.15859355301318986,-0.34059126025380937,0.1694497254484705,,0.2611545885255747,-0.9423371090331935
2010-04-22,0.062283073062232575,0.15411718474402974,-0.3348189182428921,0.1672269196285338,,0.26759591126167936,-0.9372337477474636
2010-04-23,0.1607787323801233,0.138123199103003,-0.30933512948581204,0.16594857785992312,,0.3221384992524185,-0.9408087582240425
2010-04-26,0.2352261947032801,0.11536087868792247,-0.29446093062741857,0.16285047668989883,,0.38360941925536746,-0.9725312805102047
2010-04-27,0.23785825727747323,0.09471215697335289,-0.24028855896896334,0.1602069798310527,,0.4959076343360011,-0.9764847522739277
2010-04-28,0.07342164820659036,0.12458100794975036,-0.336110349016767,0.15674885988365883,,0.29193856405994495,-0.9641592620934789
2010-04-29,0.010243998991803949,0.12564024053762798,-0.3381898198457816,0.15500602176516534,,0.28025248274382925,-0.9566321224353924
2010-04-30,0.13880931660678897,0.1136674050604201,-0.30675036050344373,0.15470350056010979,,0.3421786142801282,-0.9556793352870157
