datetime,stock_id,side,reason,price,shares,fee,tax,cash_after,pnl,return_pct
2023-01-10 12:00:00,1203,buy,pullback_contract,35.5,1408,19.943616000000002,0.0,3411.746981589771,,
2023-01-10 12:00:00,1473,buy,pullback_contract,21.15,161,1.35865485,0.0,5.23832673977131,,
2023-01-11 09:00:00,2640,sell,stop,88.6,594,20.998731600000003,157.8852,52454.754395139775,-1424.4710790999961,-0.026440795540155194
2023-01-11 10:00:00,2546,buy,confirm_breakout,53.6,932,19.932124800000008,0.0,2479.6222703397725,,
2023-01-11 10:00:00,2752,buy,confirm_breakout,205.0,12,0.9815400000000001,0.0,18.64073033977229,,
2023-01-11 12:00:00,2520,sell,stop,29.25,3369,39.318756750000006,295.62975,98226.94222358978,-1804.7878135499923,-0.018045516102533618
2023-01-12 09:00:00,2356,sell,stop,26.15,3798,39.62776230000001,297.9531,197207.06136128976,-1039.8729221999965,-0.010396650717360957
2023-01-12 10:00:00,1102,buy,confirm_breakout,42.05,1189,19.94898255,0.0,147189.66237873977,,
2023-01-12 10:00:00,1904,buy,pullback_contract,28.3,1766,19.941142200000005,0.0,97191.92123653977,,
2023-01-12 10:00:00,2064,buy,pullback_contract,18.15,2754,19.9440549,0.0,47186.87718163977,,
2023-01-12 10:00:00,2072,buy,pullback_contract,123.5,381,18.7743465,0.0,114.60283513976901,,
2023-01-12 10:00:00,2385,buy,pullback_contract,86.8,1,0.0346332,0.0,27.768201939769014,,
2023-01-12 10:00:00,2832,buy,pullback_contract,20.6,1,0.008219400000000002,0.0,7.159982539769011,,
2023-01-12 11:00:00,2385,sell,stop,86.2,1,0.03439380000000001,0.2586,93.06698873976902,-0.9276270000000011,-0.010682684613447542
2023-01-12 12:00:00,8342,buy,pullback_contract,55.3,1,0.022064700000000003,0.0,37.74492403976902,,
2023-01-12 12:00:00,8937,buy,pullback_contract,14.65,2,0.011690700000000002,0.0,8.433233339769018,,
2023-01-12 13:00:00,2064,sell,stop,17.95,2754,19.724285700000003,148.3029,49274.70604763976,-738.7712406000064,-0.014773934401275949
2023-01-12 13:00:00,8937,sell,stop,14.8,2,0.011810400000000002,0.0888,49304.20543723976,0.1876989000000009,0.006403550785284483
2023-01-13 10:00:00,1259,buy,pullback_contract,73.6,669,19.646121599999997,0.0,46.15931563976483,,
2023-01-13 13:00:00,2063,sell,stop,43.85,2434,42.58562910000001,320.19270000000006,106414.28098653979,6372.639386500014,0.06372927297230697
2023-01-16 09:00:00,1259,sell,stop,73.7,669,19.672814700000004,147.91590000000002,155551.9922718398,-120.33483629999682,-0.0024429478181683126
2023-01-16 10:00:00,2072,sell,stop,119.5,381,18.1662705,136.5885,200926.73750133978,-1697.5291169999982,-0.03606218608653686
2023-01-16 13:00:00,3014,sell,stop,74.3,482,14.289227400000001,107.4378,236617.6104739398,56.86067239999829,0.001595685378367542
2023-01-17 10:00:00,1904,buy,confirm_breakout,28.45,1757,19.944673350000002,0.0,186611.0158005898,,
