,sector,pair,performance
456,Harmony Ecosystem,"('1INCHUSDT', 'AXSUSDT')","{'totalReturn': np.float64(1798.8428375062751), 'totalProfitfee': np.float64(1798.8428375062751), 'AnnualizedReturn': np.float64(10807.862315881323), 'Win Rate': 0.28463648834019206, 'SharpeRatio': np.float64(0.01982899281886033), 'SortinoRatio': np.float64(0.02168688003009853), 'ProfitFactor': np.float64(1.091498836643889), 'MaxDrawdown': np.float64(-0.0)}"
457,Energi Ecosystem,"('1INCHUSDT', 'AXSUSDT')","{'totalReturn': np.float64(1798.8428375062751), 'totalProfitfee': np.float64(1798.8428375062751), 'AnnualizedReturn': np.float64(10807.862315881323), 'Win Rate': 0.28463648834019206, 'SharpeRatio': np.float64(0.01982899281886033), 'SortinoRatio': np.float64(0.02168688003009853), 'ProfitFactor': np.float64(1.091498836643889), 'MaxDrawdown': np.float64(-0.0)}"
458,Layer 1 (L1),"('DGBUSDT', 'WEMIXUSDT')","{'totalReturn': np.float64(1796.9073078065474), 'totalProfitfee': np.float64(1796.9073078065474), 'AnnualizedReturn': np.float64(10796.233207397361), 'Win Rate': 0.35459533607681754, 'SharpeRatio': np.float64(0.016891640830103975), 'SortinoRatio': np.float64(0.018882496613238556), 'ProfitFactor': np.float64(1.0649667988654867), 'MaxDrawdown': np.float64(-0.0)}"
459,Exchange-based Tokens,"('1INCHUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1796.7037363203383), 'totalProfitfee': np.float64(1796.7037363203383), 'AnnualizedReturn': np.float64(10795.010102994625), 'Win Rate': 0.16392318244170095, 'SharpeRatio': np.float64(0.02354127216807548), 'SortinoRatio': np.float64(0.0268370427530255), 'ProfitFactor': np.float64(1.1409913135948888), 'MaxDrawdown': np.float64(-0.0)}"
460,Decentralized Finance (DeFi),"('1INCHUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1796.7037363203383), 'totalProfitfee': np.float64(1796.7037363203383), 'AnnualizedReturn': np.float64(10795.010102994625), 'Win Rate': 0.16392318244170095, 'SharpeRatio': np.float64(0.02354127216807548), 'SortinoRatio': np.float64(0.0268370427530255), 'ProfitFactor': np.float64(1.1409913135948888), 'MaxDrawdown': np.float64(-0.0)}"
461,Decentralized Exchange (DEX),"('1INCHUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1796.7037363203383), 'totalProfitfee': np.float64(1796.7037363203383), 'AnnualizedReturn': np.float64(10795.010102994625), 'Win Rate': 0.16392318244170095, 'SharpeRatio': np.float64(0.02354127216807548), 'SortinoRatio': np.float64(0.0268370427530255), 'ProfitFactor': np.float64(1.1409913135948888), 'MaxDrawdown': np.float64(-0.0)}"
462,Automated Market Maker (AMM),"('1INCHUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1796.7037363203383), 'totalProfitfee': np.float64(1796.7037363203383), 'AnnualizedReturn': np.float64(10795.010102994625), 'Win Rate': 0.16392318244170095, 'SharpeRatio': np.float64(0.02354127216807548), 'SortinoRatio': np.float64(0.0268370427530255), 'ProfitFactor': np.float64(1.1409913135948888), 'MaxDrawdown': np.float64(-0.0)}"
463,BNB Chain Ecosystem,"('1INCHUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1796.7037363203383), 'totalProfitfee': np.float64(1796.7037363203383), 'AnnualizedReturn': np.float64(10795.010102994625), 'Win Rate': 0.16392318244170095, 'SharpeRatio': np.float64(0.02354127216807548), 'SortinoRatio': np.float64(0.0268370427530255), 'ProfitFactor': np.float64(1.1409913135948888), 'MaxDrawdown': np.float64(-0.0)}"
464,Polygon Ecosystem,"('1INCHUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1796.7037363203383), 'totalProfitfee': np.float64(1796.7037363203383), 'AnnualizedReturn': np.float64(10795.010102994625), 'Win Rate': 0.16392318244170095, 'SharpeRatio': np.float64(0.02354127216807548), 'SortinoRatio': np.float64(0.0268370427530255), 'ProfitFactor': np.float64(1.1409913135948888), 'MaxDrawdown': np.float64(-0.0)}"
465,Avalanche Ecosystem,"('1INCHUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1796.7037363203383), 'totalProfitfee': np.float64(1796.7037363203383), 'AnnualizedReturn': np.float64(10795.010102994625), 'Win Rate': 0.16392318244170095, 'SharpeRatio': np.float64(0.02354127216807548), 'SortinoRatio': np.float64(0.0268370427530255), 'ProfitFactor': np.float64(1.1409913135948888), 'MaxDrawdown': np.float64(-0.0)}"
466,Near Protocol Ecosystem,"('1INCHUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1796.7037363203383), 'totalProfitfee': np.float64(1796.7037363203383), 'AnnualizedReturn': np.float64(10795.010102994625), 'Win Rate': 0.16392318244170095, 'SharpeRatio': np.float64(0.02354127216807548), 'SortinoRatio': np.float64(0.0268370427530255), 'ProfitFactor': np.float64(1.1409913135948888), 'MaxDrawdown': np.float64(-0.0)}"
467,Decentralized Finance (DeFi),"('LDOUSDT', 'TELUSDT')","{'totalReturn': np.float64(1790.9303655684594), 'totalProfitfee': np.float64(1790.9303655684594), 'AnnualizedReturn': np.float64(10760.322361028602), 'Win Rate': 0.11042524005486969, 'SharpeRatio': np.float64(0.014425714720107546), 'SortinoRatio': np.float64(0.01239008978883755), 'ProfitFactor': np.float64(1.0958798626696846), 'MaxDrawdown': np.float64(-0.0)}"
468,Ethereum Ecosystem,"('LDOUSDT', 'TELUSDT')","{'totalReturn': np.float64(1790.9303655684594), 'totalProfitfee': np.float64(1790.9303655684594), 'AnnualizedReturn': np.float64(10760.322361028602), 'Win Rate': 0.11042524005486969, 'SharpeRatio': np.float64(0.014425714720107546), 'SortinoRatio': np.float64(0.01239008978883755), 'ProfitFactor': np.float64(1.0958798626696846), 'MaxDrawdown': np.float64(-0.0)}"
469,Polygon Ecosystem,"('LDOUSDT', 'TELUSDT')","{'totalReturn': np.float64(1790.9303655684594), 'totalProfitfee': np.float64(1790.9303655684594), 'AnnualizedReturn': np.float64(10760.322361028602), 'Win Rate': 0.11042524005486969, 'SharpeRatio': np.float64(0.014425714720107546), 'SortinoRatio': np.float64(0.01239008978883755), 'ProfitFactor': np.float64(1.0958798626696846), 'MaxDrawdown': np.float64(-0.0)}"
470,Decentralized Finance (DeFi),"('COMPUSDT', 'SPELLUSDT')","{'totalReturn': np.float64(1786.3822326125076), 'totalProfitfee': np.float64(1786.3822326125076), 'AnnualizedReturn': np.float64(10732.99613009984), 'Win Rate': 0.06310013717421124, 'SharpeRatio': np.float64(0.05208126089861658), 'SortinoRatio': np.float64(0.032514119509545324), 'ProfitFactor': np.float64(1.4836835501701158), 'MaxDrawdown': np.float64(-0.0)}"
