,sector,pair,performance
142,Energi Ecosystem,"('AVAUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(1355.5350342509012), 'totalProfitfee': np.float64(1336.0779965092484), 'AnnualizedReturn': np.float64(8027.464505775731), 'Win Rate': 0.16872427983539096, 'SharpeRatio': np.float64(0.023478235894480608), 'SortinoRatio': np.float64(0.015500367793528074), 'ProfitFactor': np.float64(1.147005885724239), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.01392508022494711)}"
143,Made in USA,"('DOTUSDT', 'ZENUSDT')","{'totalReturn': np.float64(1416.906552853452), 'totalProfitfee': np.float64(1407.0748757038684), 'AnnualizedReturn': np.float64(8454.030117397728), 'Win Rate': 0.49862825788751713, 'SharpeRatio': np.float64(0.02280060820698021), 'SortinoRatio': np.float64(0.031213082143249787), 'ProfitFactor': np.float64(1.0683378568636412), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.014186456605641613)}"
144,Exchange-based Tokens,"('LRCUSDT', 'RENUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.01432296969828509)}"
145,Energi Ecosystem,"('LRCUSDT', 'RENUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.01432296969828509)}"
146,Made in USA,"('BATUSDT', 'XLMUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.014487669566539933)}"
147,Meme,"('AVAUSDT', 'SHIBUSDT')","{'totalReturn': np.float64(1469.5483245441615), 'totalProfitfee': np.float64(1449.755876992192), 'AnnualizedReturn': np.float64(8710.46740908889), 'Win Rate': 0.11865569272976681, 'SharpeRatio': np.float64(0.034023955492825324), 'SortinoRatio': np.float64(0.021507171426844048), 'ProfitFactor': np.float64(1.2605648784441357), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.014908966714768296)}"
148,Made in USA,"('RVNUSDT', 'XTZUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.01521602480351454)}"
149,Smart Contract Platform,"('EGLDUSDT', 'XTZUSDT')","{'totalReturn': np.float64(385.91545728151067), 'totalProfitfee': np.float64(375.9849401722939), 'AnnualizedReturn': np.float64(2259.0041672903253), 'Win Rate': 0.50960219478738, 'SharpeRatio': np.float64(0.011922063161419569), 'SortinoRatio': np.float64(0.016056270426254397), 'ProfitFactor': np.float64(1.0350429323606383), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.01551026671322007)}"
150,Layer 1 (L1),"('EGLDUSDT', 'XTZUSDT')","{'totalReturn': np.float64(385.91545728151067), 'totalProfitfee': np.float64(375.9849401722939), 'AnnualizedReturn': np.float64(2259.0041672903253), 'Win Rate': 0.50960219478738, 'SharpeRatio': np.float64(0.011922063161419569), 'SortinoRatio': np.float64(0.016056270426254397), 'ProfitFactor': np.float64(1.0350429323606383), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.01551026671322007)}"
151,Proof of Stake (PoS),"('EGLDUSDT', 'XTZUSDT')","{'totalReturn': np.float64(385.91545728151067), 'totalProfitfee': np.float64(375.9849401722939), 'AnnualizedReturn': np.float64(2259.0041672903253), 'Win Rate': 0.50960219478738, 'SharpeRatio': np.float64(0.011922063161419569), 'SortinoRatio': np.float64(0.016056270426254397), 'ProfitFactor': np.float64(1.0350429323606383), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.01551026671322007)}"
152,Fantom Ecosystem,"('NEXOUSDT', 'SPELLUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.015560777944945375)}"
153,Made in USA,"('ADAUSDT', 'BATUSDT')","{'totalReturn': np.float64(-431.25820987607426), 'totalProfitfee': np.float64(-441.27685113051666), 'AnnualizedReturn': np.float64(-2651.293015022857), 'Win Rate': 0.5027434842249657, 'SharpeRatio': np.float64(-0.00711554181139894), 'SortinoRatio': np.float64(-0.010355329599346935), 'ProfitFactor': np.float64(0.9798238558593966), 'MaxDrawdown': np.float64(inf), 'Coin_p_value': np.float64(-0.015586357031361011)}"
154,Harmony Ecosystem,"('ADAUSDT', 'BATUSDT')","{'totalReturn': np.float64(-431.25820987607426), 'totalProfitfee': np.float64(-441.27685113051666), 'AnnualizedReturn': np.float64(-2651.293015022857), 'Win Rate': 0.5027434842249657, 'SharpeRatio': np.float64(-0.00711554181139894), 'SortinoRatio': np.float64(-0.010355329599346935), 'ProfitFactor': np.float64(0.9798238558593966), 'MaxDrawdown': np.float64(inf), 'Coin_p_value': np.float64(-0.015586357031361011)}"
155,Energi Ecosystem,"('QNTUSDT', 'SUSHIUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.015612691841910725)}"
156,Made in USA,"('XTZUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.01613650732149555)}"
157,Smart Contract Platform,"('EGLDUSDT', 'GRTUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.016307737787370144)}"
158,Proof of Stake (PoS),"('EGLDUSDT', 'GRTUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.016307737787370144)}"
159,Made in USA,"('DOTUSDT', 'UMAUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.016551279157838016)}"
160,Decentralized Exchange (DEX),"('CRVUSDT', 'SISUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.0169280135810333)}"
161,Smart Contract Platform,"('KSMUSDT', 'RUNEUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.01712156253147575)}"
162,Proof of Stake (PoS),"('KSMUSDT', 'RUNEUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.01712156253147575)}"
163,Alleged SEC Securities,"('ALGOUSDT', 'OMGUSDT')","{'totalReturn': np.float64(177.18000887201356), 'totalProfitfee': np.float64(167.00047496948196), 'AnnualizedReturn': np.float64(1003.3773393228134), 'Win Rate': 0.4993141289437586, 'SharpeRatio': np.float64(0.0011884739157620263), 'SortinoRatio': np.float64(0.001931413082208387), 'ProfitFactor': np.float64(1.0050850844887609), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.017163557271839387)}"
164,Smart Contract Platform,"('IMXUSDT', 'THETAUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.017215496840724695)}"
165,Made in USA,"('ONEUSDT', 'ZENUSDT')","{'totalReturn': np.float64(338.9463501576717), 'totalProfitfee': np.float64(325.42390938042223), 'AnnualizedReturn': np.float64(1955.221842367969), 'Win Rate': 0.289437585733882, 'SharpeRatio': np.float64(0.006035336286404691), 'SortinoRatio': np.float64(0.006620809925410182), 'ProfitFactor': np.float64(1.022390715718417), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.017551877417092628)}"
166,Made in USA,"('AVAXUSDT', 'RVNUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.017564383143030295)}"
167,Made in USA,"('GALAUSDT', 'ZENUSDT')","{'totalReturn': np.float64(1108.1363120622811), 'totalProfitfee': np.float64(1093.92642716731), 'AnnualizedReturn': np.float64(6572.56207269248), 'Win Rate': 0.35802469135802467, 'SharpeRatio': np.float64(0.01782764616437899), 'SortinoRatio': np.float64(0.02209235622274887), 'ProfitFactor': np.float64(1.061549636372597), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.01771511501529241)}"
168,Ethereum Ecosystem,"('CRVUSDT', 'IMXUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.017957669050094036)}"
169,Derivatives,"('PERPUSDT', 'UMAUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.018068684575864018)}"
170,Ethereum Ecosystem,"('CRVUSDT', 'MANAUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.018582000735714692)}"
171,Polygon Ecosystem,"('CRVUSDT', 'MANAUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.018582000735714692)}"
172,Smart Contract Platform,"('FILUSDT', 'XECUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.019270408515843034)}"
173,Layer 1 (L1),"('FILUSDT', 'XECUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.019270408515843034)}"
174,Made in USA,"('COMPUSDT', 'XLMUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.019292732505634)}"
175,Decentralized Finance (DeFi),"('LRCUSDT', 'UMAUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.02014484521974638)}"
176,Made in USA,"('THETAUSDT', 'ZENUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.020604724113882103)}"
177,Smart Contract Platform,"('AVAXUSDT', 'IMXUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.02064463285951395)}"
178,Smart Contract Platform,"('EGLDUSDT', 'GALAUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.02094330703247866)}"
179,Layer 1 (L1),"('EGLDUSDT', 'GALAUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.02094330703247866)}"
180,NFT,"('GODSUSDT', 'SLPUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.021300573923651454)}"
181,Gaming (GameFi),"('GODSUSDT', 'SLPUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.021300573923651454)}"
