,Profit,Profitfee,cumReturn,Drawdown
2022-08-24 15:00:00+08:00,-34.190969437284394,-34.190969437284394,528859.0296852668,6.464626147962376e-05
2022-08-24 16:00:00+08:00,185.36061451499268,185.36061451499268,529044.3902997818,-0.0
2022-08-24 17:00:00+08:00,112.43578059579335,112.43578059579335,529156.8260803776,-0.0
2022-08-24 18:00:00+08:00,-17.901802205475455,-17.901802205475455,529138.9242781721,3.383080652683747e-05
2022-08-24 19:00:00+08:00,113.63276292155388,113.63276292155388,529252.5570410936,-0.0
2022-08-24 20:00:00+08:00,-968.4115101975565,-968.4115101975565,528284.145530896,0.0018297720007470276
2022-08-24 21:00:00+08:00,-2856.938912349199,-2856.938912349199,525427.2066185469,0.007227835504344508
2022-08-24 22:00:00+08:00,1167.6792602619996,1167.6792602619996,526594.8858788089,0.005021555639037421
2022-08-24 23:00:00+08:00,523.7775696143491,523.7775696143491,527118.6634484233,0.004031900392886797
2022-08-25 00:00:00+08:00,1374.9814425679383,1355.8869764060514,528474.5504248294,0.0014700101226035728
2022-08-25 01:00:00+08:00,50.81478155194998,50.81478155194998,528525.3652063813,0.001373997772968383
2022-08-25 02:00:00+08:00,-101.79750652294119,-101.79750652294119,528423.5676998583,0.001566339794123824
2022-08-25 03:00:00+08:00,-153.20277694296527,-153.20277694296527,528270.3649229154,0.0018558098682969165
2022-08-25 04:00:00+08:00,78.6816042753567,78.6816042753567,528349.0465271907,0.0017071443526964802
2022-08-25 05:00:00+08:00,-473.1975430537616,-473.1975430537616,527875.848984137,0.002601230808696409
2022-08-25 06:00:00+08:00,-285.6880136334858,-285.6880136334858,527590.1609705035,0.0031410260535804087
2022-08-25 07:00:00+08:00,-217.81897871960993,-217.81897871960993,527372.3419917838,0.003552585668780782
2022-08-25 08:00:00+08:00,-66.74754536555079,-66.74754536555079,527305.5944464182,0.003678702292078288
2022-08-25 09:00:00+08:00,158.28696669620902,158.28696669620902,527463.8814131145,0.0033796258594934285
2022-08-25 10:00:00+08:00,919.7251638021037,919.7251638021037,528383.6065769166,0.001641844621469587
2022-08-25 11:00:00+08:00,569.9079498086049,569.9079498086049,528953.5145267253,0.0005650280010741462
2022-08-25 12:00:00+08:00,-562.5311334240265,-562.5311334240265,528390.9833933013,0.0016279064433985118
2022-08-25 13:00:00+08:00,18.974523691250173,18.974523691250173,528409.9579169925,0.001592054894948167
2022-08-25 14:00:00+08:00,-17.81472522699957,-17.81472522699957,528392.1431917655,0.0016257150539591178
2022-08-25 15:00:00+08:00,67.72311852776318,67.72311852776318,528459.8663102933,0.0014977551270266645
2022-08-25 16:00:00+08:00,28.297423191217845,28.297423191217845,528488.1637334846,0.0014442883599514985
2022-08-25 17:00:00+08:00,-1320.371883032032,-1320.371883032032,527167.7918504525,0.003939074385008925
2022-08-25 18:00:00+08:00,249.82902224282358,249.82902224282358,527417.6208726953,0.0034670331658988463
2022-08-25 19:00:00+08:00,283.90616544343965,283.90616544343965,527701.5270381388,0.0029306046467232017
2022-08-25 20:00:00+08:00,-174.07152842307602,-174.07152842307602,527527.4555097157,0.0032595053314856868
2022-08-25 21:00:00+08:00,219.24768340552546,219.24768340552546,527746.7031931212,0.0028452462400770768
