TodayBalance,YesBalance,buy,date,name,Return,sell
260444363000,259420884000,12515964000,2010-04-22,MarginPurchaseMoney,98694000,11393791000
14628225,14567582,597584,2010-04-22,MarginPurchase,6704,530238
266883,244543,24216,2010-04-23,ShortSale,672,47228
262529323000,260444363000,16386691000,2010-04-23,MarginPurchaseMoney,135310000,14166420000
14734267,14628221,778514,2010-04-23,MarginPurchase,9880,662587
261721772000,262529324000,15500444000,2010-04-26,MarginPurchaseMoney,55494000,16252502000
279182,266883,29872,2010-04-26,ShortSale,254,42425
14723841,14734260,766703,2010-04-26,MarginPurchase,4096,773026
14773812,14723807,696353,2010-04-27,MarginPurchase,6128,640221
262382064000,261719198000,13575965000,2010-04-27,MarginPurchaseMoney,79392000,12833707000
280549,279182,32165,2010-04-27,ShortSale,4905,38437
293567,280549,41547,2010-04-28,ShortSale,923,55488
263407990000,262382064000,13562230000,2010-04-28,MarginPurchaseMoney,161199000,12375105000
14808834,14773811,703991,2010-04-28,MarginPurchase,10949,658019
265964051000,263407993000,17021624000,2010-04-29,MarginPurchaseMoney,120845000,14344721000
14921933,14808830,838180,2010-04-29,MarginPurchase,5549,719528
306737,293567,28121,2010-04-29,ShortSale,1450,42741
14821073,14921932,850544,2010-04-30,MarginPurchase,15264,936139
302917,306737,46626,2010-04-30,ShortSale,698,43504
263636741000,265961879000,17143799000,2010-04-30,MarginPurchaseMoney,162022000,19306915000
14803250,14821089,548947,2010-05-03,MarginPurchase,22403,544383
263743742000,263639179000,10686603000,2010-05-03,MarginPurchaseMoney,249595000,10332446000
307614,302917,42310,2010-05-03,ShortSale,588,47595
14781347,14803250,541504,2010-05-04,MarginPurchase,12601,550807
315573,307614,34680,2010-05-04,ShortSale,492,43131
263626600000,263743638000,10605345000,2010-05-04,MarginPurchaseMoney,189400000,10532983000
304681,315573,63576,2010-05-05,ShortSale,316,53000
14701731,14781344,652388,2010-05-05,MarginPurchase,9169,722832
262098859000,263626630000,12542507000,2010-05-05,MarginPurchaseMoney,140370000,13929909000
14676661,14701731,564606,2010-05-06,MarginPurchase,14274,575401
300928,304681,56938,2010-05-06,ShortSale,1125,54310
261550281000,262098335000,10975853000,2010-05-06,MarginPurchaseMoney,229426000,11294480000
14532635,14675820,605057,2010-05-07,MarginPurchase,21215,727028
258506131000,261536445000,11473757000,2010-05-07,MarginPurchaseMoney,377961000,14126111000
281535,300928,76764,2010-05-07,ShortSale,778,58149
259422522000,258505897000,9419809000,2010-05-10,MarginPurchaseMoney,154345000,8348839000
14568600,14532637,489556,2010-05-10,MarginPurchase,7616,445976
312220,281495,26152,2010-05-10,ShortSale,520,57397
347819,312220,28420,2010-05-11,ShortSale,414,64433
259862640000,259423260000,11476173000,2010-05-11,MarginPurchaseMoney,219288000,10817505000
14592845,14568619,597528,2010-05-11,MarginPurchase,13421,559881
374807,347799,31177,2010-05-12,ShortSale,1432,59617
14619236,14592841,459615,2010-05-12,MarginPurchase,23454,409766
260386211000,259862598000,8377024000,2010-05-12,MarginPurchaseMoney,271768000,7581643000
380248,374807,46308,2010-05-13,ShortSale,1077,52826
14659334,14619235,643764,2010-05-13,MarginPurchase,7044,596621
260908833000,260386403000,11349297000,2010-05-13,MarginPurchaseMoney,116789000,10710078000
387470,380260,33227,2010-05-14,ShortSale,423,40860
14686539,14659346,476491,2010-05-14,MarginPurchase,13477,435821
260948525000,260908801000,8365161000,2010-05-14,MarginPurchaseMoney,200988000,8124449000
383339,387470,50196,2010-05-17,ShortSale,395,46460
14656146,14686533,477158,2010-05-17,MarginPurchase,12182,495363
260535469000,260948638000,9020258000,2010-05-17,MarginPurchaseMoney,178960000,9254467000
386025,383339,45543,2010-05-18,ShortSale,542,48771
14617440,14629717,428972,2010-05-18,MarginPurchase,11977,429272
259572461000,260077456000,8698843000,2010-05-18,MarginPurchaseMoney,183818000,9020020000
392777,386025,56566,2010-05-19,ShortSale,693,64011
260752423000,259572447000,9641167000,2010-05-19,MarginPurchaseMoney,226569000,8234622000
14702149,14617437,508572,2010-05-19,MarginPurchase,9096,414764
14677077,14702148,444100,2010-05-20,MarginPurchase,12610,456561
394818,392777,42214,2010-05-20,ShortSale,456,44711
259827516000,260752557000,8395128000,2010-05-20,MarginPurchaseMoney,274888000,9045281000
353096,394790,88976,2010-05-21,ShortSale,2348,49630
254981337000,259826679000,8671142000,2010-05-21,MarginPurchaseMoney,430172000,13086312000
14446051,14677075,472859,2010-05-21,MarginPurchase,14088,689796
381148,353096,36595,2010-05-24,ShortSale,822,65469
253979091000,254981268000,6277347000,2010-05-24,MarginPurchaseMoney,311014000,6968510000
14439686,14446048,348227,2010-05-24,MarginPurchase,12495,342093
373022,381148,72367,2010-05-25,ShortSale,1229,65470
248300557000,253977557000,9031078000,2010-05-25,MarginPurchaseMoney,665173000,14042905000
14185761,14439683,517554,2010-05-25,MarginPurchase,24814,746662
14193152,14185698,451663,2010-05-26,MarginPurchase,21436,422773
382922,373022,56485,2010-05-26,ShortSale,904,67289
247803882000,248300042000,8290822000,2010-05-26,MarginPurchaseMoney,625278000,8161704000
388514,382902,55087,2010-05-27,ShortSale,569,61268
248114996000,247804552000,7910846000,2010-05-27,MarginPurchaseMoney,308212000,7292190000
14215433,14193149,422759,2010-05-27,MarginPurchase,16562,383913
14223238,14215432,545487,2010-05-28,MarginPurchase,7923,529758
408109,388514,37859,2010-05-28,ShortSale,821,58275
248060799000,248115139000,10411315000,2010-05-28,MarginPurchaseMoney,149234000,10316421000
248500127000,248060837000,6779259000,2010-05-31,MarginPurchaseMoney,126542000,6213427000
14224023,14223238,342425,2010-05-31,MarginPurchase,7680,333961
426319,408101,27722,2010-05-31,ShortSale,859,46799
249496458000,248499334000,7623869000,2010-06-01,MarginPurchaseMoney,147531000,6479215000
433659,426219,34898,2010-06-01,ShortSale,877,43215
14257255,14223922,376281,2010-06-01,MarginPurchase,7040,335908
250242635000,249496200000,8208916000,2010-06-02,MarginPurchaseMoney,113522000,7348959000
444877,433639,40315,2010-06-02,ShortSale,845,52398
14267231,14257253,388533,2010-06-02,MarginPurchase,8539,370016
454152,444876,40097,2010-06-03,ShortSale,742,50115
249917136000,250243147000,8205993000,2010-06-03,MarginPurchaseMoney,127193000,8404812000
14263280,14267245,423922,2010-06-03,MarginPurchase,6542,421345
14263087,14262789,390271,2010-06-04,MarginPurchase,12244,377729
249947410000,249916881000,7728341000,2010-06-04,MarginPurchaseMoney,207415000,7490397000
454181,454122,34369,2010-06-04,ShortSale,1182,35610
249504437000,249947766000,7022297000,2010-06-07,MarginPurchaseMoney,136928000,7328698000
14243415,14263116,327811,2010-06-07,MarginPurchase,6273,341238
428692,454181,68271,2010-06-07,ShortSale,388,43170
14322098,14243413,389532,2010-06-08,MarginPurchase,4842,306005
251533832000,249504524000,8684680000,2010-06-08,MarginPurchaseMoney,113911000,6541461000
433876,428692,37084,2010-06-08,ShortSale,1093,43361
14294622,14322097,433565,2010-06-09,MarginPurchase,6931,454109
435532,433876,48505,2010-06-09,ShortSale,1230,51391
250427656000,251533810000,8806957000,2010-06-09,MarginPurchaseMoney,142117000,9770994000
14328235,14294619,347243,2010-06-10,MarginPurchase,7146,306481
450850,435532,47130,2010-06-10,ShortSale,1358,63806
250547834000,250427625000,6662251000,2010-06-10,MarginPurchaseMoney,188299000,6353743000
440712,450850,53223,2010-06-11,ShortSale,361,43446
14326011,14328233,510387,2010-06-11,MarginPurchase,8556,504052
249663804000,250549934000,9114568000,2010-06-11,MarginPurchaseMoney,142758000,9857940000
249275822000,249663795000,7069029000,2010-06-14,MarginPurchaseMoney,89108000,7367894000
14326493,14326009,421398,2010-06-14,MarginPurchase,5496,415417
447182,440712,30468,2010-06-14,ShortSale,540,37478
448123,447182,30823,2010-06-15,ShortSale,1715,33479
248458244000,249275814000,7440659000,2010-06-15,MarginPurchaseMoney,143962000,8114267000
14287535,14326492,407817,2010-06-15,MarginPurchase,7378,439396
247813747000,248444397000,8695522000,2010-06-17,MarginPurchaseMoney,84424000,9241748000
463107,448093,24060,2010-06-17,ShortSale,1180,40254
14241874,14286994,464173,2010-06-17,MarginPurchase,4142,505151
451304,463107,39348,2010-06-18,ShortSale,1891,29436
248069995000,247813884000,6809594000,2010-06-18,MarginPurchaseMoney,146618000,6406865000
14249912,14241856,359162,2010-06-18,MarginPurchase,8065,343040
460322,451304,36408,2010-06-21,ShortSale,1775,47201
247376777000,248070310000,10464774000,2010-06-21,MarginPurchaseMoney,139881000,11018426000
14247305,14249911,588948,2010-06-21,MarginPurchase,6410,585144
465828,460322,28388,2010-06-22,ShortSale,1607,35501
248141092000,247377255000,9167027000,2010-06-22,MarginPurchaseMoney,110672000,8292518000
14285374,14247304,521283,2010-06-22,MarginPurchase,6479,476733
249305003000,248140945000,9468216000,2010-06-23,MarginPurchaseMoney,132092000,8172067000
463258,465828,38049,2010-06-23,ShortSale,765,36244
14341543,14285363,535994,2010-06-23,MarginPurchase,4610,475204
468845,463258,27408,2010-06-24,ShortSale,1480,34475
251138367000,249712073000,9723770000,2010-06-24,MarginPurchaseMoney,120099000,8177377000
14415607,14345129,580824,2010-06-24,MarginPurchase,5523,504823
14422674,14415334,576465,2010-06-25,MarginPurchase,9464,559661
438515,468845,60347,2010-06-25,ShortSale,1678,31695
251402828000,251140480000,9751238000,2010-06-25,MarginPurchaseMoney,159811000,9329079000
14517857,14417804,566030,2010-06-28,MarginPurchase,5120,460857
437581,438457,35435,2010-06-28,ShortSale,1191,35750
252529265000,251315880000,8432260000,2010-06-28,MarginPurchaseMoney,103980000,7114895000
419082,437639,53397,2010-06-29,ShortSale,2299,37139
14481930,14522201,499625,2010-06-29,MarginPurchase,19888,520008
252245212000,252616163000,8129355000,2010-06-29,MarginPurchaseMoney,185012000,8315294000
253046984000,252245257000,7637318000,2010-06-30,MarginPurchaseMoney,196881000,6638710000
14515705,14482870,421528,2010-06-30,MarginPurchase,12353,376340
397940,419081,66106,2010-06-30,ShortSale,2299,47264
254470799000,253070590000,8279717000,2010-07-01,MarginPurchaseMoney,151798000,6727710000
14578312,14515825,435641,2010-07-01,MarginPurchase,8733,364421
409015,397935,42192,2010-07-01,ShortSale,678,53950
14686609,14578310,614908,2010-07-02,MarginPurchase,11565,495045
422068,409015,35618,2010-07-02,ShortSale,1289,49960
256081714000,254470782000,10062891000,2010-07-02,MarginPurchaseMoney,220791000,8231167000
14729840,14686606,577257,2010-07-05,MarginPurchase,6745,527278
256551148000,256081748000,9934828000,2010-07-05,MarginPurchaseMoney,119404000,9346024000
415300,422068,43652,2010-07-05,ShortSale,1164,38048
256312795000,256551120000,12411988000,2010-07-06,MarginPurchaseMoney,137721000,12512592000
412784,415300,46268,2010-07-06,ShortSale,1087,44839
14746512,14729839,661306,2010-07-06,MarginPurchase,8626,636007
14773733,14746509,649480,2010-07-07,MarginPurchase,5175,617081
415059,412783,31400,2010-07-07,ShortSale,920,34596
256696809000,256312795000,12148162000,2010-07-07,MarginPurchaseMoney,96223000,11667926000
427340,415059,34496,2010-07-08,ShortSale,778,47555
256401817000,256696698000,14372161000,2010-07-08,MarginPurchaseMoney,124404000,14542638000
14767515,14773729,758525,2010-07-08,MarginPurchase,8431,756308
424962,427340,35508,2010-07-09,ShortSale,686,33816
255399381000,256401878000,11615366000,2010-07-09,MarginPurchaseMoney,170785000,12447078000
14740659,14767513,590306,2010-07-09,MarginPurchase,10006,607154
255074587000,255399361000,11786316000,2010-07-12,MarginPurchaseMoney,120042000,11991049000
428782,424962,31214,2010-07-12,ShortSale,981,36015
14704663,14740655,579429,2010-07-12,MarginPurchase,9682,605739
255705901000,255074343000,10938746000,2010-07-13,MarginPurchaseMoney,113299000,10193889000
421500,428782,31841,2010-07-13,ShortSale,1675,26234
14695825,14704660,501460,2010-07-13,MarginPurchase,4499,505795
254950954000,255705621000,12326271000,2010-07-14,MarginPurchaseMoney,124649000,12956288000
14654325,14695791,624545,2010-07-14,MarginPurchase,5925,660086
438431,421499,20043,2010-07-14,ShortSale,2942,39917
255830078000,254950273000,12094249000,2010-07-15,MarginPurchaseMoney,105269000,11109175000
14717151,14654323,685360,2010-07-15,MarginPurchase,5066,617466
454810,438431,22894,2010-07-15,ShortSale,828,40101
446780,454810,41023,2010-07-16,ShortSale,2313,35306
256304720000,255830078000,14259941000,2010-07-16,MarginPurchaseMoney,129109000,13656190000
14779272,14717147,885030,2010-07-16,MarginPurchase,7973,814932
257688723000,256305032000,8988905000,2010-07-19,MarginPurchaseMoney,72423000,7532791000
444342,446777,32742,2010-07-19,ShortSale,1072,31379
14835751,14779305,526399,2010-07-19,MarginPurchase,4894,465059
258299950000,257688723000,10539910000,2010-07-20,MarginPurchaseMoney,144749000,9783934000
449676,444342,36864,2010-07-20,ShortSale,2899,45097
14876525,14835748,607602,2010-07-20,MarginPurchase,9815,557011
258244818000,258299841000,11932295000,2010-07-21,MarginPurchaseMoney,92207000,11895111000
451773,449676,34622,2010-07-21,ShortSale,1434,38153
14870900,14876514,656532,2010-07-21,MarginPurchase,5214,656933
259530464000,258251062000,10369466000,2010-07-22,MarginPurchaseMoney,139110000,8950954000
