,futures_id,contract_date,monthly_group,Open,High,Low,Close,spread,spread_per,Volume,settlement_price,open_interest,trading_session,futures_id_a,contract_date_a,monthly_group_a,Open_a,High_a,Low_a,Close_a,spread_a,spread_per_a,Volume_a,settlement_price_a,open_interest_a,trading_session_a,daily_ret,cum_daily_ret,daily_pnl,cum_daily_pnl,daily_ret_a,cum_daily_ret_a,daily_pnl_a,cum_daily_pnl_a,Foreign_Opt_Signal,Dealer_Opt_Signal,Foreign_Opt_Signal_a,MOVE_open,MOVE_high,MOVE_low,MOVE_close,SOX_open,SOX_high,SOX_low,SOX_close,SOX_ind,MOVE_ind,MOVE_vol,3_ma,divergence,3_ma_v2,divergence_v2,gap,gap_v2,pos_night,pos_day,strat_ret,benchmark_ret,cum_strat,cum_bnh
2023-03-10,TX,202303,2023-03-15,15618.0,15624.0,15452.0,15484.0,-282.0,-1.79,100898.0,15481.0,64951.0,position,TX,202303,2023-03-15,15767.0,15798.0,15616.0,15626.0,-140.0,-0.89,61782.0,0.0,0.0,after_market,-0.008579843770008977,-0.06602766292202278,-142.0,-1575.0,-0.008942728483541607,0.40181079640319406,-149.0,5348.0,0.002750331573368297,-0.016286707893514926,,129.7624,129.7624,129.2811,129.2811,3037.5783,3083.6778,2976.3476,2980.2107,0.019983639408045928,-0.003709086761650604,0.027474830921746074,15744.333333333334,-0.007515931657951058,15678.666666666666,-0.0026356850672626386,-0.008942728483541607,-0.009450117333671626,0.0,1.0,-142.0,-142.0,-130.0,-3268.0
2023-03-13,TX,202303,2023-03-15,15450.0,15540.0,15345.0,15520.0,39.0,0.25,137218.0,15519.0,39314.0,position,TX,202303,2023-03-15,15476.0,15552.0,15391.0,15404.0,-77.0,-0.5,84223.0,0.0,0.0,after_market,0.0045307443365696365,-0.06149691858545314,88.0,-1505.0,-0.004652364952184018,0.39715843145101004,-26.0,5276.0,-0.00445339579023473,0.02111325616871644,,129.2811,140.0608,129.2811,140.0608,2995.8971,3003.5668,2909.5161,2923.9286,-0.018885965836666685,0.08338187097727356,0.0037228953033352497,15632.0,-0.014585465711361323,15590.333333333334,-0.012416021770558672,-0.0051666236114699116,-0.0021958150348747596,0.0,0.0,0.0,88.0,-130.0,-3180.0
2023-03-14,TX,202303,2023-03-15,15358.0,15428.0,15310.0,15352.0,-167.0,-1.08,103551.0,15354.0,25173.0,position,TX,202303,2023-03-15,15538.0,15563.0,15355.0,15421.0,-98.0,-0.63,94344.0,0.0,0.0,after_market,-0.00039067586925378706,-0.06188759445470693,-18.0,-1511.0,-0.007529926631484107,0.38962850481952593,-180.0,5159.0,-0.014813969566589029,-0.018902768754181423,,140.0608,173.5931,140.0608,173.5931,2883.8801,2957.7201,2861.4502,2921.7051,-0.024022353771763316,0.23941245516232934,0.08338187097727356,15483.666666666666,-0.004047275623775604,15452.0,-0.004511342498556892,-0.006378865979381421,-0.01043814432989687,0.0,0.0,-0.0,-18.0,-130.0,-3198.0
2023-03-15,TX,202303,2023-03-15,15472.0,15532.0,15404.0,15404.0,50.0,0.33,54171.0,0.0,13041.0,position,TX,202303,2023-03-15,15340.0,15496.0,15338.0,15482.0,128.0,0.83,54748.0,0.0,0.0,after_market,-0.004395036194415725,-0.06628263064912265,-132.0,-1579.0,0.009256844850065171,0.3988853496695911,132.0,5301.0,0.006879696985390967,0.018356924144067293,,173.5931,173.5931,169.6525,169.6525,2977.5931,3026.9325,2960.5743,3010.1494,0.013116009920107308,-0.022700211010691085,0.23941245516232934,15435.666666666666,0.0030017060055715916,15425.333333333334,-0.006471654154801998,0.008467952058363704,0.007816571130797367,0.0,1.0,-132.0,-132.0,-262.0,-3330.0
2023-03-16,TX,202304,2023-04-19,15194.0,15305.0,15150.0,15227.0,-103.0,-0.67,115384.0,15226.0,65640.0,position,TX,202304,2023-04-19,15340.0,15349.0,15068.0,15181.0,-149.0,-0.97,100002.0,0.0,0.0,after_market,0.002171909964459706,-0.06411072068466295,3.0,-1546.0,-0.010365058670143368,0.38852029099944774,-146.0,5142.0,0.014815414803155583,0.005933401351739764,,169.6525,198.708,169.6525,198.708,2968.4722,2985.4885,2915.2264,2977.3854,0.01093376391824652,0.17126479126449645,0.023227479701153797,15361.333333333334,-0.011739432340942657,15327.666666666666,-0.0013830063099663503,-0.014476759283303053,-0.013632822643469211,0.0,1.0,3.0,3.0,-259.0,-3327.0
2023-03-17,TX,202304,2023-04-19,15310.0,15418.0,15298.0,15403.0,177.0,1.16,91820.0,15405.0,66215.0,position,TX,202304,2023-04-19,15197.0,15356.0,15162.0,15341.0,115.0,0.76,75085.0,0.0,0.0,after_market,0.006074461136511999,-0.05803625954815095,107.0,-1453.0,0.009475554385734108,0.39799584538518185,113.0,5286.0,0.026531458035417593,-0.0010261856362384723,,198.708,198.708,167.9599,167.9599,2963.2566,3102.0075,2955.0763,3098.0681,0.0030026220221970323,-0.15474012118284108,0.17126479126449645,15334.666666666666,0.00041300756455964205,15344.666666666666,-0.006567644564295483,0.007486701254350914,0.005450843895711488,0.0,1.0,107.0,107.0,-152.0,-3220.0
2023-03-20,TX,202304,2023-04-19,15454.0,15477.0,15352.0,15373.0,-32.0,-0.21,79652.0,15370.0,65540.0,position,TX,202304,2023-04-19,15417.0,15428.0,15321.0,15338.0,-67.0,-0.43,58496.0,0.0,0.0,after_market,-0.005241361459816241,-0.06327762100796719,-163.0,-1534.0,-0.0051242135305182845,0.39287163185466356,37.0,5207.0,-0.00455193998251024,-0.06705276094954692,,167.9599,180.1088,167.9599,180.1088,3104.7588,3127.4172,3064.0033,3083.5193,0.045494372643934966,0.07233214594674076,0.18306810137419705,15286.666666666666,0.0033580462276494583,15334.333333333334,0.0038015379936569005,-0.004219957151204268,0.003311043303252603,0.0,1.0,-163.0,-163.0,-315.0,-3383.0
2023-03-21,TX,202304,2023-04-19,15464.0,15517.0,15425.0,15455.0,85.0,0.55,73240.0,15455.0,65755.0,position,TX,202304,2023-04-19,15291.0,15451.0,15211.0,15445.0,75.0,0.49,71128.0,0.0,0.0,after_market,-0.0005819968960165678,-0.06385961790398376,11.0,-1543.0,0.010071283761689864,0.4029429156163534,173.0,5361.0,-0.01278480676905122,0.023825957357526822,,180.1088,182.6382,180.1088,182.6382,3083.9359,3123.1241,3060.337,3114.7129,-0.006840950092483866,0.01404373356548927,0.07233214594674076,15374.666666666666,0.004574624924117643,15410.333333333334,0.0025215746799120975,0.004683536069732597,0.005919469199245464,0.0,1.0,11.0,11.0,-304.0,-3372.0
2023-03-22,TX,202304,2023-04-19,15589.0,15725.0,15568.0,15712.0,257.0,1.66,79375.0,15715.0,72441.0,position,TX,202304,2023-04-19,15475.0,15584.0,15457.0,15577.0,122.0,0.79,51979.0,0.0,0.0,after_market,0.007890178972352224,-0.05596943893163153,135.0,-1420.0,0.006591276252019496,0.4095341918683729,114.0,5463.0,0.006356866042156897,0.030586075641821666,,182.6382,182.6382,162.3099,162.3099,3137.2959,3169.8565,3071.2094,3116.8863,0.009979779411108947,-0.11130365936589393,0.01404373356548927,15453.333333333334,0.00800258843830881,15513.333333333334,0.0028984880275140235,0.007893885473956752,0.008670333225493376,0.0,1.0,135.0,135.0,-169.0,-3237.0
2023-03-23,TX,202304,2023-04-19,15695.0,15866.0,15683.0,15837.0,122.0,0.78,87831.0,15836.0,75135.0,position,TX,202304,2023-04-19,15724.0,15844.0,15654.0,15671.0,-44.0,-0.28,71235.0,0.0,0.0,after_market,0.009047467346288585,-0.04692197158534295,152.0,-1278.0,-0.0033706436021369024,0.406163548266236,-29.0,5410.0,0.012337348373350902,-0.002292199348210225,,162.3099,162.3099,142.8352,142.8352,3118.9749,3201.6042,3089.8639,3091.7085,-0.006505474985639692,-0.11998467129854684,0.12524374668458305,15564.333333333334,0.0068532756515966575,15668.0,0.012806188225182646,-0.0026094704684317405,-0.001081975560081494,0.0,0.0,0.0,152.0,-169.0,-3085.0
2023-03-24,TX,202304,2023-04-19,15878.0,15923.0,15806.0,15912.0,76.0,0.48,72534.0,15917.0,74211.0,position,TX,202304,2023-04-19,15847.0,15979.0,15798.0,15899.0,63.0,0.4,70836.0,0.0,0.0,after_market,0.0021413276231263545,-0.04478064396221659,29.0,-1244.0,0.003281378178835004,0.409444926445071,31.0,5462.0,-0.013936893745122088,-0.008950997701455745,,142.8352,151.3974,142.8352,151.3974,3146.2062,3216.3222,3119.0249,3174.361,-0.008742103054436234,0.05994460749171093,0.13634384241419495,15715.666666666666,0.01166564150423155,15820.333333333334,0.01078631605820779,0.003914882869230363,0.0025888741554587202,0.0,1.0,29.0,29.0,-140.0,-3056.0
2023-03-27,TX,202304,2023-04-19,15855.0,15893.0,15793.0,15831.0,-86.0,-0.54,72250.0,15829.0,69345.0,position,TX,202304,2023-04-19,15907.0,15935.0,15780.0,15880.0,-37.0,-0.23,66598.0,0.0,0.0,after_market,-0.00151371807000944,-0.04629436203222603,-40.0,-1268.0,-0.0016973659395235208,0.4077475605055475,-52.0,5435.0,-0.015422521958712805,-0.04373429510067344,,151.3974,173.6639,151.3974,173.6639,3150.9441,3154.3564,3089.9664,3121.2634,0.008948809521766243,0.14707319940765173,0.05994460749171093,15816.666666666666,0.0040042149631192014,15860.0,0.005794231052864474,-0.002011060834590239,-0.0035822021116138636,0.0,1.0,-40.0,-40.0,-180.0,-3096.0
2023-03-28,TX,202304,2023-04-19,15814.0,15829.0,15655.0,15690.0,-139.0,-0.88,84158.0,15689.0,69508.0,position,TX,202304,2023-04-19,15815.0,15831.0,15722.0,15760.0,-69.0,-0.44,51905.0,0.0,0.0,after_market,-0.007841153408372326,-0.05413551544059836,-104.0,-1392.0,-0.0034777110338286565,0.40426984947171885,-1.0,5380.0,0.007433667939871991,-0.013992270867441502,,173.6639,173.6639,161.6746,161.6746,3129.3995,3141.8281,3075.7806,3083.5747,-0.009419621249390109,-0.06903737621923733,0.14707319940765173,15846.333333333334,-0.005448158354193433,15811.0,-0.0018284993694829277,-0.0044848714547407464,-0.0010738424609942898,0.0,0.0,-0.0,-104.0,-180.0,-3200.0
2023-03-29,TX,202304,2023-04-19,15730.0,15787.0,15653.0,15740.0,51.0,0.33,77212.0,15738.0,69250.0,position,TX,202304,2023-04-19,15710.0,15719.0,15642.0,15695.0,6.0,0.04,40073.0,0.0,0.0,after_market,0.0006357279084552303,-0.05349978753214313,22.0,-1382.0,-0.0009548058561426043,0.40331504361557624,20.0,5365.0,0.009557181025798257,0.004488896443583031,,161.6746,161.6746,155.9632,155.9632,3076.9921,3076.9921,3015.797,3057.2666,-0.014643320547600203,-0.03532651387416452,0.07415697951317046,15778.333333333334,-0.005281504172388374,15753.666666666666,-0.0076528998798305325,0.00031867431485022024,0.002549394518801762,0.0,1.0,22.0,22.0,-158.0,-3178.0
2023-03-30,TX,202304,2023-04-19,15822.0,15862.0,15761.0,15821.0,83.0,0.53,78724.0,15819.0,68933.0,position,TX,202304,2023-04-19,15752.0,15849.0,15742.0,15840.0,102.0,0.65,36525.0,0.0,0.0,after_market,-6.320313487551132e-05,-0.05356299066701864,8.0,-1383.0,0.005586592178770999,0.40890163579434724,70.0,5453.0,0.006871581738675914,0.0033177611282503307,,155.9632,155.9632,150.5826,150.5826,3109.5605,3176.8454,3105.3546,3157.1122,-0.006410643693235407,-0.034499163905331476,0.03662017706741083,15765.0,0.004757373929590969,15750.333333333334,-0.0008675229047205857,0.006353240152477735,0.005209656925031725,0.0,1.0,8.0,8.0,-150.0,-3170.0
2023-03-31,TX,202304,2023-04-19,15879.0,15965.0,15860.0,15864.0,45.0,0.28,82044.0,15864.0,69836.0,position,TX,202304,2023-04-19,15830.0,15892.0,15820.0,15865.0,46.0,0.29,34314.0,0.0,0.0,after_market,-0.0009446438692612968,-0.054507634536279936,-31.0,-1398.0,0.002210991787744865,0.4111126275820921,49.0,5488.0,-0.0022628760356459433,-0.03177839166687787,,150.5826,150.5826,141.2392,141.2392,3198.1717,3230.0838,3186.3115,3208.2591,0.015292096744861539,-0.062048337590133285,0.03573188402909766,15800.0,0.004113924050632933,15808.333333333334,0.004486677530634253,0.002781113709626526,0.0036660135263257843,0.0,1.0,-31.0,-31.0,-181.0,-3201.0
2023-04-06,TX,202304,2023-04-19,15780.0,15793.0,15701.0,15760.0,-104.0,-0.66,71495.0,15762.0,68514.0,position,TX,202304,2023-04-19,15848.0,15928.0,15810.0,15919.0,55.0,0.35,39855.0,0.0,0.0,after_market,-0.0012674271229404788,-0.055775061659220415,2.0,-1418.0,0.004480060575466904,0.415592688157559,-68.0,5559.0,0.004370283205666376,-0.0019711258965994663,,141.2392,141.2392,135.9319,135.9319,3107.077,3111.8034,3055.3966,3085.9747,-0.020105077017918194,-0.03757667842921797,,,,,,,,0.0,1.0,2.0,2.0,-179.0,-3199.0
2023-04-07,TX,202304,2023-04-19,15850.0,15870.0,15796.0,15818.0,56.0,0.36,52583.0,15818.0,69593.0,position,TX,202304,2023-04-19,15782.0,15845.0,15750.0,15821.0,59.0,0.37,36535.0,0.0,0.0,after_market,-0.002018927444794927,-0.05779398910401534,-36.0,-1450.0,0.0024711696869852418,0.41806385784454425,68.0,5598.0,0.00587719598979327,0.012183983372669696,,153.9038,153.9038,147.7284,147.7284,,,,,-0.0067916887801622305,-0.040125065138092775,0.03904381532223122,,,,,0.0038705583756344364,0.005710659898477077,0.0,1.0,-36.0,-36.0,-215.0,-3235.0
2023-04-10,TX,202304,2023-04-19,15839.0,15927.0,15828.0,15849.0,31.0,0.2,61327.0,15851.0,70836.0,position,TX,202304,2023-04-19,15814.0,15834.0,15806.0,15829.0,11.0,0.07,10869.0,0.0,0.0,after_market,0.0006313529894563796,-0.05716263611455896,6.0,-1440.0,0.0009485266219804167,0.41901238446652467,25.0,5613.0,-0.002562550703735658,-0.020248259416185833,,,,,,3055.1724,3093.8225,3034.8196,3071.7647,-0.0067916887801622305,,0.041802388707926186,15856.333333333334,-0.0017238117261242358,15809.0,,0.0006954102920724292,0.0013276014666834257,0.0,1.0,6.0,6.0,-209.0,-3229.0
2023-04-11,TX,202304,2023-04-19,15834.0,15963.0,15825.0,15921.0,70.0,0.44,81532.0,15924.0,70630.0,position,TX,202304,2023-04-19,15845.0,15866.0,15733.0,15818.0,-33.0,-0.21,39418.0,0.0,0.0,after_market,0.005494505494505475,-0.05166813062005349,97.0,-1353.0,-0.0017040075733669724,0.4173083768931577,-11.0,5586.0,-0.017433796903416603,0.03752414528335744,,139.1997,143.0048,139.1997,143.0048,3047.918,3127.8963,3042.3476,3126.9715,0.005430888286369839,0.02733554741856481,,15822.666666666666,-0.0002949355355186256,15862.666666666666,0.0025302043139983077,-0.001955959366521598,-0.0009464319515426478,0.0,1.0,97.0,97.0,-112.0,-3132.0
2023-04-12,TX,202304,2023-04-19,15957.0,15960.0,15866.0,15926.0,2.0,0.01,57123.0,15925.0,68379.0,position,TX,202304,2023-04-19,15931.0,15966.0,15914.0,15937.0,13.0,0.08,28793.0,0.0,0.0,after_market,-0.0019427210628564229,-0.05361085168290991,-46.0,-1384.0,0.00037662419182726836,0.41768500108498496,26.0,5592.0,0.003929288774772688,-0.07649666368962728,,143.0048,143.0048,139.7819,139.7819,3145.8557,3145.9965,3104.3792,3109.4176,0.025936885441143698,-0.02253700575085582,0.02733554741856481,15861.333333333334,0.004770511096166663,15898.666666666666,0.0036773976632764604,0.001004961999874432,0.0022611644997172498,0.0,1.0,-46.0,-46.0,-158.0,-3178.0
2023-04-13,TX,202304,2023-04-19,15865.0,15903.0,15808.0,15816.0,-109.0,-0.68,79548.0,15816.0,67674.0,position,TX,202304,2023-04-19,15911.0,16003.0,15868.0,15879.0,-46.0,-0.29,60564.0,0.0,0.0,after_market,-0.003088559722659978,-0.05669941140556989,-33.0,-1433.0,-0.0020111872289610977,0.41567381385602387,-46.0,5560.0,-0.003887642188346359,-0.030755348987661257,,139.7819,139.7819,129.6793,129.6793,3133.861,3140.7244,3049.8716,3052.5155,-0.01158288983185074,-0.07227402117155368,0.02305663322647633,15878.0,6.29802242095856e-05,15887.666666666666,0.0017192217376720276,-0.002951149064422953,-0.0038302147431872324,0.0,0.0,-0.0,-33.0,-158.0,-3211.0
2023-04-14,TX,202304,2023-04-19,15882.0,15995.0,15855.0,15947.0,131.0,0.83,88415.0,15948.0,69858.0,position,TX,202304,2023-04-19,15832.0,15912.0,15784.0,15891.0,75.0,0.47,41549.0,0.0,0.0,after_market,0.004092683541115694,-0.052606727864454195,64.0,-1368.0,0.0037266296109146335,0.4194004434669385,50.0,5619.0,-0.00020240368046476261,0.07488687359566326,,129.6793,129.6793,119.9514,119.9514,3055.5492,3092.1525,3036.0259,3074.9434,-0.02595695852496327,-0.075015056373685,0.07790449208161987,15902.333333333334,-0.0007126836732554986,15896.333333333334,-0.004510836497912396,0.00474203338391499,0.004172989377845271,0.0,1.0,64.0,64.0,-94.0,-3147.0
2023-04-17,TX,202304,2023-04-19,15920.0,15974.0,15877.0,15970.0,22.0,0.14,84803.0,15970.0,52427.0,position,TX,202304,2023-04-19,15946.0,15969.0,15875.0,15923.0,-25.0,-0.16,46082.0,0.0,0.0,after_market,0.003140703517587884,-0.04946602434686631,50.0,-1318.0,-0.0014423679919729482,0.41795807547496555,-26.0,5596.0,0.0016763884436065161,-0.0979210840330788,,119.9514,119.9514,118.8414,118.8414,3070.881,3107.2507,3036.9615,3070.4531,0.006347205929461142,-0.009253747767846043,0.08109867829804407,15897.666666666666,0.0015935252552785606,15911.0,0.0031873178301076166,-0.0015049852636859207,-0.0016931084216467163,0.0,0.0,0.0,50.0,-94.0,-3097.0
2023-04-18,TX,202304,2023-04-19,15931.0,15963.0,15862.0,15890.0,-80.0,-0.5,90958.0,15891.0,30441.0,position,TX,202304,2023-04-19,15970.0,15981.0,15919.0,15963.0,-7.0,-0.04,33280.0,0.0,0.0,after_market,-0.0025735986441529635,-0.052039622991019274,-39.0,-1359.0,-0.0004383218534752542,0.4175197536214903,-39.0,5589.0,-0.007592913728182753,-0.002912213631444714,,118.8414,122.6915,118.8414,122.6915,3033.3698,3067.8883,3025.8337,3066.6791,-0.00013934112067504056,0.03239695930879316,0.00934017943242016,15925.666666666666,0.00234422420830116,15935.666666666666,0.0037081264533971314,-0.0004383218534752542,-0.002442078897933575,0.0,1.0,-39.0,-39.0,-133.0,-3136.0
2023-04-19,TX,202304,2023-04-19,15893.0,15923.0,15750.0,15775.0,-116.0,-0.73,53512.0,0.0,14959.0,position,TX,202304,2023-04-19,15892.0,15941.0,15885.0,15901.0,10.0,0.06,25751.0,0.0,0.0,after_market,-0.007424652362675421,-0.059464275353694696,-125.0,-1477.0,0.0005663226780769914,0.4180860762995673,1.0,5598.0,-0.0183405827820708,-0.005334705626830045,,122.6915,122.7759,122.6915,122.7759,3097.8998,3116.3546,3054.2809,3077.7206,0.0109809558992775,0.0006879042150433889,0.03239695930879316,15929.0,-0.0017578002385586489,15878.333333333334,-0.002865689125023496,0.0006922592825675533,0.00018879798615478727,0.0,0.0,0.0,-125.0,-133.0,-3261.0
2023-04-20,TX,202305,2023-05-17,15730.0,15798.0,15682.0,15731.0,-47.0,-0.3,95145.0,15731.0,67599.0,position,TX,202305,2023-05-17,15768.0,15778.0,15708.0,15758.0,-20.0,-0.13,37644.0,0.0,0.0,after_market,6.357279084556744e-05,-0.05940070256284913,28.0,-1476.0,-0.0006341958396752778,0.417451880459892,-38.0,5588.0,0.0033494451844077442,0.03441282409059934,,122.7759,124.0184,122.7759,124.0184,3036.0271,3053.2695,3026.8439,3046.3841,-0.0065138323712083945,0.010120064279716123,0.0006879042150433889,15874.0,-0.007307546932090236,15798.666666666666,-0.006507819880340104,-0.001077654516640214,-0.0028526148969889586,0.0,0.0,0.0,28.0,-133.0,-3233.0
