,TodayBalance,YesBalance,buy,date,name,Return,sell
169,5463820,5471770,236127,2020-04-01,MarginPurchase,10986,233091
170,541704,556742,57266,2020-04-01,ShortSale,6151,48379
171,93198509000,91965082000,6440842000,2020-04-06,MarginPurchaseMoney,71638000,5135777000
172,535401,541704,50779,2020-04-06,ShortSale,3700,48176
173,5496478,5463820,327741,2020-04-06,MarginPurchase,3791,291292
174,540209,535401,35292,2020-04-07,ShortSale,2245,42345
175,5506839,5496478,389543,2020-04-07,MarginPurchase,9160,370022
176,93311906000,93198504000,8231950000,2020-04-07,MarginPurchaseMoney,115234000,8003313000
177,540984,540209,31341,2020-04-08,ShortSale,5082,37198
178,5533088,5506838,381063,2020-04-08,MarginPurchase,5452,349361
179,94221085000,93311901000,8184158000,2020-04-08,MarginPurchaseMoney,108209000,7166765000
180,95101888000,94221101000,8020687000,2020-04-09,MarginPurchaseMoney,104048000,7035852000
181,539382,540984,40071,2020-04-09,ShortSale,2365,40834
182,5561841,5533088,349129,2020-04-09,MarginPurchase,7293,313083
183,95742704000,95101888000,5684885000,2020-04-10,MarginPurchaseMoney,154916000,4889153000
184,542711,539382,40547,2020-04-10,ShortSale,1610,45486
185,5571880,5561841,269685,2020-04-10,MarginPurchase,13285,246361
186,5669300,5571879,352359,2020-04-13,MarginPurchase,8579,246359
187,523196,542711,51278,2020-04-13,ShortSale,4449,36212
188,96541380000,95742704000,5981414000,2020-04-13,MarginPurchaseMoney,92507000,5090231000
189,5684309,5669301,371836,2020-04-14,MarginPurchase,8225,348603
190,575877,523196,22078,2020-04-14,ShortSale,672,75431
191,97271995000,96541564000,7660128000,2020-04-14,MarginPurchaseMoney,99270000,6830427000
192,97879089000,97272061000,9010036000,2020-04-15,MarginPurchaseMoney,134630000,8268377000
193,5697570,5684308,382152,2020-04-15,MarginPurchase,11648,357242
194,607233,575877,28891,2020-04-15,ShortSale,2359,62606
195,5736954,5697573,307375,2020-04-16,MarginPurchase,7971,260023
196,99244539000,97878953000,6996500000,2020-04-16,MarginPurchaseMoney,100055000,5530858000
197,655071,607233,24701,2020-04-16,ShortSale,3778,76317
198,5716924,5736950,406055,2020-04-17,MarginPurchase,5758,420323
199,683304,655071,44223,2020-04-17,ShortSale,1890,74346
200,98351065000,99244391000,9342784000,2020-04-17,MarginPurchaseMoney,111428000,10124682000
201,99813355000,98351065000,6158807000,2020-04-20,MarginPurchaseMoney,76008000,4620508000
202,5764354,5716924,265584,2020-04-20,MarginPurchase,4014,214140
203,718396,683304,21283,2020-04-20,ShortSale,242,56617
204,100356304000,99813359000,7813693000,2020-04-21,MarginPurchaseMoney,87142000,7183606000
205,5779304,5764349,367486,2020-04-21,MarginPurchase,5294,347237
206,746026,718396,46938,2020-04-21,ShortSale,2336,76904
207,5777925,5779303,305211,2020-04-22,MarginPurchase,4206,302383
208,102149786000,100356304000,6815851000,2020-04-22,MarginPurchaseMoney,80106000,4942263000
209,769551,746026,44404,2020-04-22,ShortSale,396,68325
210,103244771000,102149783000,7423679000,2020-04-23,MarginPurchaseMoney,73598000,6255093000
211,798452,769675,29059,2020-04-23,ShortSale,1108,58944
212,5821444,5777925,318334,2020-04-23,MarginPurchase,4844,269971
213,819820,798452,27839,2020-04-24,ShortSale,695,49902
214,104271364000,103244765000,5837453000,2020-04-24,MarginPurchaseMoney,78409000,4732445000
215,5863626,5821444,270024,2020-04-24,MarginPurchase,5915,221927
216,104706462000,104271364000,9345416000,2020-04-27,MarginPurchaseMoney,129654000,8780664000
217,818104,819820,47760,2020-04-27,ShortSale,3231,49275
218,5876408,5863625,393384,2020-04-27,MarginPurchase,8928,371673
219,104407728000,104706471000,8927572000,2020-04-28,MarginPurchaseMoney,130489000,9095826000
220,5849265,5876406,342192,2020-04-28,MarginPurchase,7243,362090
221,812913,818104,40282,2020-04-28,ShortSale,1264,36355
222,825729,812913,29654,2020-04-29,ShortSale,650,43120
223,5881957,5849265,386807,2020-04-29,MarginPurchase,9066,345049
224,104287235000,104407728000,8786433000,2020-04-29,MarginPurchaseMoney,133658000,8773268000
225,831603,825728,34478,2020-04-30,ShortSale,1149,41502
226,104468367000,104287230000,10589409000,2020-04-30,MarginPurchaseMoney,180584000,10227688000
227,5849345,5881956,406879,2020-04-30,MarginPurchase,8908,430582
228,5905121,5849345,353291,2020-05-04,MarginPurchase,3480,294035
229,846683,831603,39869,2020-05-04,ShortSale,627,55576
230,106589473000,104468347000,8748152000,2020-05-04,MarginPurchaseMoney,50641000,6576385000
231,5982286,5905121,367477,2020-05-05,MarginPurchase,3953,286359
232,866629,846683,25686,2020-05-05,ShortSale,880,46512
233,108565552000,106589473000,10312757000,2020-05-05,MarginPurchaseMoney,146436000,8190242000
234,5988321,5982286,345222,2020-05-06,MarginPurchase,3312,335875
235,886835,866629,29365,2020-05-06,ShortSale,1221,50792
236,108459553000,108565552000,8286846000,2020-05-06,MarginPurchaseMoney,78730000,8314115000
237,109792992000,108459553000,9048014000,2020-05-07,MarginPurchaseMoney,75565000,7639010000
238,894104,886835,30992,2020-05-07,ShortSale,477,38738
239,6014904,5988321,321712,2020-05-07,MarginPurchase,4778,290351
240,110189579000,109793243000,9484604000,2020-05-08,MarginPurchaseMoney,71095000,9017173000
241,897604,894104,34853,2020-05-08,ShortSale,1757,40110
242,6030831,6014903,348692,2020-05-08,MarginPurchase,4220,328544
243,899999,897599,39169,2020-05-11,ShortSale,573,42142
244,110800040000,110189579000,9424651000,2020-05-11,MarginPurchaseMoney,71917000,8742273000
245,6050278,6030831,386813,2020-05-11,MarginPurchase,4583,362783
246,6081401,6050279,309148,2020-05-12,MarginPurchase,5541,272485
247,112035510000,110800080000,8420848000,2020-05-12,MarginPurchaseMoney,113639000,7071779000
248,897763,899999,34737,2020-05-12,ShortSale,526,33027
249,6054765,6081401,278357,2020-05-13,MarginPurchase,8875,296118
250,897840,897763,35182,2020-05-13,ShortSale,2061,37320
251,112396868000,112035510000,7359185000,2020-05-13,MarginPurchaseMoney,124988000,6872839000
252,6017808,6054764,314143,2020-05-14,MarginPurchase,4712,346387
253,903554,897840,40846,2020-05-14,ShortSale,4895,51455
254,111223644000,112396868000,7929547000,2020-05-14,MarginPurchaseMoney,171859000,8930912000
255,6032193,6017808,281938,2020-05-15,MarginPurchase,6680,260873
256,901226,903554,42284,2020-05-15,ShortSale,1236,41192
257,111113214000,111223644000,7082780000,2020-05-15,MarginPurchaseMoney,185290000,7007920000
258,111962890000,111113160000,8043080000,2020-05-18,MarginPurchaseMoney,67071000,7126279000
259,891330,901226,56268,2020-05-18,ShortSale,3689,50061
260,6063915,6032186,278695,2020-05-18,MarginPurchase,2834,244132
261,6073089,6063898,302576,2020-05-19,MarginPurchase,5736,287649
262,879472,891330,47146,2020-05-19,ShortSale,461,35749
263,112604279000,111962755000,7475246000,2020-05-19,MarginPurchaseMoney,78566000,6755156000
264,884298,879473,27066,2020-05-20,ShortSale,6926,38817
265,113368374000,112604574000,7255812000,2020-05-20,MarginPurchaseMoney,90032000,6401980000
266,6093169,6073090,255158,2020-05-20,MarginPurchase,4185,230894
267,6128545,6093168,308392,2020-05-21,MarginPurchase,4816,268199
268,114377222000,113368374000,8508457000,2020-05-21,MarginPurchaseMoney,66024000,7433585000
269,881466,884298,36511,2020-05-21,ShortSale,722,34401
270,114660405000,114376990000,7995053000,2020-05-22,MarginPurchaseMoney,95116000,7616522000
271,876283,881465,38924,2020-05-22,ShortSale,1709,35451
272,6153236,6128538,327647,2020-05-22,MarginPurchase,3759,299190
273,115848938000,114660654000,7123256000,2020-05-25,MarginPurchaseMoney,50322000,5884649000
274,6171800,6153238,251356,2020-05-25,MarginPurchase,2793,230001
275,867958,876202,39243,2020-05-25,ShortSale,2745,33744
276,6177756,6171800,314011,2020-05-26,MarginPurchase,7379,300676
277,115836834000,115848938000,8430916000,2020-05-26,MarginPurchaseMoney,108313000,8334707000
278,871497,867958,33022,2020-05-26,ShortSale,1260,37821
279,115689043000,115836834000,6786557000,2020-05-27,MarginPurchaseMoney,47289000,6887059000
280,6196625,6177756,281589,2020-05-27,MarginPurchase,2524,260196
281,869277,871497,26741,2020-05-27,ShortSale,3725,28246
282,861653,869277,34109,2020-05-28,ShortSale,1468,27953
283,115475479000,115689043000,6910163000,2020-05-28,MarginPurchaseMoney,87877000,7035850000
284,6200073,6196625,304071,2020-05-28,MarginPurchase,4764,295859
285,862445,861653,28275,2020-05-29,ShortSale,725,29792
286,116399048000,115475470000,5730234000,2020-05-29,MarginPurchaseMoney,73169000,4733487000
287,6194104,6200073,218240,2020-05-29,MarginPurchase,7389,216820
288,116315043000,116399048000,7622620000,2020-06-01,MarginPurchaseMoney,60290000,7646335000
289,868290,862445,26338,2020-06-01,ShortSale,3453,35636
290,6178985,6194104,283832,2020-06-01,MarginPurchase,3772,295179
291,6161482,6178985,267867,2020-06-02,MarginPurchase,4931,280439
292,868026,868290,23748,2020-06-02,ShortSale,1138,24622
293,116375040000,116315578000,8313289000,2020-06-02,MarginPurchaseMoney,91015000,8162812000
294,117217907000,116375035000,9499830000,2020-06-03,MarginPurchaseMoney,106605000,8550353000
295,872902,868026,25347,2020-06-03,ShortSale,4435,34658
296,6225452,6161481,423279,2020-06-03,MarginPurchase,8996,350312
297,117647157000,117217907000,9533717000,2020-06-04,MarginPurchaseMoney,143502000,8960965000
298,6247566,6225452,366586,2020-06-04,MarginPurchase,8435,336037
299,864948,872902,31905,2020-06-04,ShortSale,4745,28696
300,6256061,6247566,326020,2020-06-05,MarginPurchase,5634,311891
301,118181406000,117647157000,8639792000,2020-06-05,MarginPurchaseMoney,105895000,7999648000
302,870171,864948,28995,2020-06-05,ShortSale,693,34911
303,6260800,6256060,378803,2020-06-08,MarginPurchase,6187,367876
304,866257,870171,34766,2020-06-08,ShortSale,4530,35382
305,117848845000,118181406000,8939742000,2020-06-08,MarginPurchaseMoney,112616000,9159687000
