買進,日期,種類,賣出
6773570,2020-02-27,Foreign_Dealer_Self,4543900
58929291272,2020-02-27,total,89089411648
6571860969,2020-02-27,Dealer_Hedging,11565047407
1345780800,2020-02-27,Investment_Trust,2345497230
48490410033,2020-02-27,Foreign_Investor,71715347711
1679082100,2020-03-02,Investment_Trust,1508415502
9472049995,2020-03-02,Dealer_Hedging,10018932302
3674825920,2020-03-02,Dealer_self,1962550420
58597346249,2020-03-02,Foreign_Investor,78295848994
73423304264,2020-03-02,total,91785747218
4168470,2020-03-02,Foreign_Dealer_Self,9828580
42080941645,2020-03-03,Foreign_Investor,55618201694
52393761443,2020-03-03,total,67203433948
2274108410,2020-03-03,Dealer_self,2060283771
9556710,2020-03-03,Foreign_Dealer_Self,4883850
5799633208,2020-03-03,Dealer_Hedging,8129097503
2239078180,2020-03-03,Investment_Trust,1395850980
4220921874,2020-03-04,Dealer_Hedging,7365465101
1453046870,2020-03-04,Dealer_self,1874734830
1882463440,2020-03-04,Investment_Trust,1756364330
4941980,2020-03-04,Foreign_Dealer_Self,6048770
44835447700,2020-03-04,Foreign_Investor,38557719663
52391879884,2020-03-04,total,49554283924
6356087530,2020-03-05,Dealer_Hedging,5385614807
40317069538,2020-03-05,Foreign_Investor,39351391674
1850482510,2020-03-05,Dealer_self,2048785815
51407748168,2020-03-05,total,48274613846
6795770,2020-03-05,Foreign_Dealer_Self,6818920
2884108590,2020-03-05,Investment_Trust,1488821550
1996359060,2020-03-06,Investment_Trust,1212871345
28767298949,2020-03-06,Foreign_Investor,57590480938
1326874960,2020-03-06,Dealer_self,2463384417
37471428121,2020-03-06,total,69739661431
4405160,2020-03-06,Foreign_Dealer_Self,5495480
5380895152,2020-03-06,Dealer_Hedging,8472924731
33903407067,2020-03-09,Foreign_Investor,88461679970
2354274140,2020-03-09,Investment_Trust,1524347820
6827310,2020-03-09,Foreign_Dealer_Self,7439700
46392811881,2020-03-09,total,106520254036
1991478320,2020-03-09,Dealer_self,3303812540
8143652354,2020-03-09,Dealer_Hedging,13230413706
9268441057,2020-03-10,Dealer_Hedging,9224954277
3060410230,2020-03-10,Dealer_self,2356014945
1619863900,2020-03-10,Investment_Trust,1821257839
4836530,2020-03-10,Foreign_Dealer_Self,11886330
54203860028,2020-03-10,Foreign_Investor,62823408659
68152575215,2020-03-10,total,76225635720
1623578150,2020-03-11,Investment_Trust,749672690
10668560,2020-03-11,Foreign_Dealer_Self,5847300
50740898635,2020-03-11,total,79490026399
5657370935,2020-03-11,Dealer_Hedging,10186723085
1433970210,2020-03-11,Dealer_self,5369153938
42025979340,2020-03-11,Foreign_Investor,63184476686
2720095990,2020-03-12,Dealer_self,4994247922
56498139435,2020-03-12,Foreign_Investor,93320456337
1524726130,2020-03-12,Investment_Trust,3543427797
11124875140,2020-03-12,Dealer_Hedging,15167037560
5167340,2020-03-12,Foreign_Dealer_Self,7277460
71867836695,2020-03-12,total,117025169616
3028286820,2020-03-13,Dealer_self,4566283264
75700323380,2020-03-13,Foreign_Investor,105932637696
16914941005,2020-03-13,Dealer_Hedging,13011183130
3521510,2020-03-13,Foreign_Dealer_Self,17516820
97704434195,2020-03-13,total,127007799993
2060882990,2020-03-13,Investment_Trust,3497695903
9216171260,2020-03-16,Dealer_Hedging,10618852754
45654820008,2020-03-16,Foreign_Investor,79009054373
1850833170,2020-03-16,Dealer_self,4447902032
4327290,2020-03-16,Foreign_Dealer_Self,5742090
58281815648,2020-03-16,total,95698752857
1559991210,2020-03-16,Investment_Trust,1622943698
65187989723,2020-03-17,Foreign_Investor,88232754509
81340186548,2020-03-17,total,103359275132
10655330205,2020-03-17,Dealer_Hedging,8601791761
2007500,2020-03-17,Foreign_Dealer_Self,1297130
3246546160,2020-03-17,Dealer_self,3659089685
2250320460,2020-03-17,Investment_Trust,2865639177
1396350,2020-03-18,Foreign_Dealer_Self,4942270
69802944223,2020-03-18,total,101668403741
2030104400,2020-03-18,Dealer_self,4690253503
56929039148,2020-03-18,Foreign_Investor,85640211442
8573028985,2020-03-18,Dealer_Hedging,9535746817
2270771690,2020-03-18,Investment_Trust,1802191979
1521910,2020-03-19,Foreign_Dealer_Self,2546680
78351856623,2020-03-19,total,102061860080
13501139094,2020-03-19,Dealer_Hedging,13541501548
1648836540,2020-03-19,Dealer_self,3397014688
1955334540,2020-03-19,Investment_Trust,2655681385
61246546449,2020-03-19,Foreign_Investor,82467662459
962167470,2020-03-20,Dealer_self,3626960611
9081558127,2020-03-20,Dealer_Hedging,9110279255
70609481295,2020-03-20,Foreign_Investor,92516124639
3378832310,2020-03-20,Investment_Trust,2715590206
1370210,2020-03-20,Foreign_Dealer_Self,513920
84032039202,2020-03-20,total,107968954711
44475631937,2020-03-23,Foreign_Investor,60317434933
